Country,Species_Name,CrabLobShrimp,FAOFishingArea,Unit (Name),Unit,[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019],[2020],[2021],ThreeYearTotal,TwentyYearTotal
Spain,West african fiddler crab,1,"Atlantic, Northeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01
Spain,American lobster,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Atlantic rock crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,King crab,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Lesser slipper lobster,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Marine crustaceans nei,NEI,"Atlantic, Southeast",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,12000,0,0,0,0,941,0,62,0,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Palinurid spiny lobsters nei,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Slipper lobsters nei,1,Mediterranean and Black Sea,Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Marine crustaceans nei,NEI,"Indian Ocean, Eastern",Tonnes - live weight,"TLW, Number",500,500,600,700,1200,1000,1500,1300,2100,1900,2000,1800,3000,2400,4900,2700,3200,3500,2600,4000,3500,3200,3700,3300,5300,6192,7149,6090,7269,5486,4950,7180,9989,7682,7463,4784,4919,5090,5289,5367,5098,5965,7783,7599,4900,1800,2502,2360,880,3080,230,4450,7530,13650,15320,2610,7090,10450,11780,13200,15860,12110,14660,18540,31870,30391,37257,29669,30370,31000,21025,19920,71945,374302
St. Pierre and Miquelon,Queen crab,1,"Atlantic, Northwest",Tonnes - live weight,"TLW, Number",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,189,368,354,589,511,498,150,85,161,151,191,153,137,169,250,228,327,252,101,28,6,21,86,124,178,345,647,3143
